Pig,D01,D03,D07,D10,D14,D21,D28,D36,D42
132,"21,000","3,500,000","205,000","158,000","104,000","11,000","113,000","50,000","9,700"
133,0,"1,020,000",,"108,000","71,000","5,000","10,400","2,700","2,000"
134,"40,000","83,000",,"51,000","10,000","4,000","7,600","7,100","1,650"
135,"47,000","580,000","1,690,000","610,000","27,000","27,000","128,000","2,100",550
136,"223,000","420,000","2,040,000","70,000","138,000","15,000","3,700","2,050","7,200"
137,"590,000","106,000","22,000","179,000","9,000","7,000","2,120","10,000","4,200"
138,"31,000","460,000","670,000","119,000","22,000","39,000","21,000","36,000","14,200"
139,"39,000","3,600,000","510,000","660,000","6,000","12,000",840,"7,000",300
140,"33,000","1,690,000","157,000","122,000","76,000","29,000",600,"2,100",460
141,"11,000",0,"181,000","53,000","16,000","3,000",330,"1,100",600
mean,"103,500","1,145,900","684,375","213,000","47,900","15,200","28,759","12,015","4,086"
sd,182162.4733,1362928.094,763419.5509,226576.943,46450.5711,12336.03574,48885.89673,16909.33421,4783.567242
