"","pairs","F.Model","R2","p.value","p.adjusted","sig","p.adjusted2"
"9","D0_BB vs D0_Control",1.75577758281934,0.0888741319069242,0.124,0.139,"",0.139
"110","D1_BB vs D1_Control",1.6690721083442,0.089403056491394,0.139,0.139,"",0.139
"72","D3_BB vs D3_Control",2.17962072322508,0.113642535203302,0.056,0.072,"",0.072
"108","D7_BB vs D7_Control",5.47058802300652,0.254794513179825,0.001,0.009,"",0.009
"27","D10_BB vs D10_Control",3.02547361000625,0.143895622335299,0.017,0.0306,"",0.0306
"43","D14_BB vs D14_Control",5.86877471652409,0.245876664647607,0.002,0.009,"",0.009
"58","D21_BB vs D21_Control",3.70814375428875,0.170818094640457,0.003,0.009,"",0.009
"85","D36_BB vs D36_Control",4.35214205395698,0.194708052742825,0.006,0.0135,"",0.0135
"97","D42_BB vs D42_Control",3.04124314639001,0.14453723695084,0.029,0.0435,"",0.0435
