"","pairs","F.Model","R2","p.value","p.adjusted","sig","p.adjusted2"
"10","D0 BB vs D0 Control",1.72058720648219,0.0872482745299099,0.12,0.12,"",NA
"137","D1 BB vs D1 Control",1.74935353603772,0.0933020721314646,0.109,0.12,"",NA
"96","D3 BB vs D3 Control",2.00417360135953,0.105459655515679,0.067,0.08375,"",NA
"135","D7 BB vs D7 Control",4.97646913735047,0.237240552962721,0.001,0.005,"",0.005
"30","D10 BB vs D10 Control",2.82215340858055,0.135536097213537,0.024,0.0342857142857143,"",0.034
"48","D14 BB vs D14 Control",5.69531178940997,0.24035606030537,0.002,0.005,"",0.005
"65","D21 BB vs D21 Control",3.03755428141162,0.144387234408495,0.001,0.005,"",0.005
"81","D28 BB vs D28 Control",2.62590070250763,0.179537708884993,0.002,0.005,"",0.005
"110","D36 BB vs D36 Control",4.07531361411921,0.184609545547415,0.007,0.014,"",0.014
"123","D42 BB vs D42 Control",3.01912951820347,0.143637228915154,0.013,0.0216666666666667,"",0.022
